time_point,real_infected,dd_infected,dd_scaled_infected,ff_infected,ff_scaled_infected,dd_error,dd_scaled_error,ff_error,ff_scaled_error,dd_error_sq,dd_scaled_error_sq,ff_error_sq,ff_scaled_error_sq
24,32.18,31.0161483459517,91.7248191615424,40.5837755355948,80.8089917688904,1.163851654048301,-59.5448191615424,-8.403775535594804,-48.628991768890394,1.3545506726309662,3545.585488980787,70.62344325266173,2364.7788404588096
24.5,86.57,32.3184007073898,91.0486443738248,42.4826252622279,83.2787604477374,54.251599292610194,-4.478644373824807,44.087374737772095,3.2912395522625957,2943.236025805943,20.058255427192595,1943.696611268745,10.83225779037769
25,48.42,33.6067382075252,90.2736846354672,44.3712419540405,85.6404409758363,14.813261792474805,-41.853684635467204,4.048758045959502,-37.2204409758363,219.43272493239385,1751.7309175651435,16.39244171472181,1385.3612264357137
25.5,62.84,34.8749265970269,89.4126726769063,46.2399489352867,87.8847662048774,27.965073402973104,-26.572672676906294,16.600051064713305,-25.04476620487739,782.0453304336737,706.1069331940023,275.5616953510893,627.2403142569686
26,84.19,36.1168190168571,88.4772471237971,48.0791035590864,90.0038873602432,48.0731809831429,-4.287247123797101,36.1108964409136,-5.8138873602432,2311.030729838012,18.380487900506516,1303.9968417663865,33.80128623759565
26.5,70.82,37.3264913253632,87.477979472482,49.8792738900444,91.9914107063179,33.49350867463679,-16.657979472482012,20.94072610995559,-21.1714107063179,1121.8151233379701,277.4882801056321,438.51401001217585,448.2286312955922
27,72.89,38.4982819864534,86.4244274901857,51.6314734313516,93.8424338581105,34.3917180135466,-13.534427490185706,21.2585265686484,-20.952433858110496,1182.7902679233057,183.18072748709454,451.9249518699299,439.00448457849507
27.5,69.38,39.6268635833499,85.325189046506,53.3272388486313,95.5535513134412,29.753136416650094,-15.945189046506002,16.052761151368692,-26.17355131344121,885.24912662779,254.24905372881497,257.6911405828919,685.05478835734
28,97.1,40.7073446692355,84.1879736064066,54.9587517227272,97.1227882712641,56.39265533076449,12.912026393593393,42.141248277272794,-0.022788271264104765,3180.1315752544006,166.7204255888524,1775.8848063667472,5.19305307206423e-4
28.5,66.59,41.7353240901034,83.0196658026633,56.5190027781089,98.5495051591849,24.854675909896606,-16.429665802663294,10.070997221891105,-31.9595051591849,617.7549145859947,269.9339183872037,101.42498504333835,1021.4099700199663
29,82.49,42.7069147806144,81.8263994381797,58.0018646049608,99.8343135316637,39.7830852193856,0.6636005618202887,24.488135395039194,-17.3443135316637,1582.6938695728968,0.4403657056482028,599.6687751257714,300.82521188465256
29.5,103.34,43.6187846398444,80.6136206294709,59.4021272039791,100.978976214917,59.721215360155604,22.726379370529102,43.937872796020905,2.361023785083006,3566.623564094086,516.4883192932108,1930.5366658393139,5.574433313727685
30,94.31,44.4681911204303,79.3861560646301,60.7155524967619,101.986249591212,49.841808879569705,14.923843935369902,33.5944475032381,-7.676249591211999,2484.2059123875533,222.721117807277,1128.5869030478207,58.92480778658238
30.5,105.22,45.2529805641158,78.1482709766535,61.9389031480831,102.859762774573,59.9670194358842,27.071729023346492,43.2810968519169,2.3602372254269994,3596.043420023713,732.8785123135008,1873.253344705011,5.5707197602913405
31,112.57,45.9715808378411,76.9037277035962,63.0699174491006,103.603896254976,66.59841916215889,35.66627229640379,49.50008255089939,8.966103745024,4435.349434898612,1272.0829795212205,2450.2581725458544,80.3910163665334
